name,id,cityId,url,cityClassification,image,products
Adilabad,3c86c8509186eb4d605e,61abf974cbf3b748eaa3,adilabad,2,,"['buy', 'plots', 'commercial', 'rent']"
Agra,ed45fcbe051c69e42fdb,f6382968b4ba6805e369,agra_uttar_pradesh,2,,"['buy', 'plots', 'commercial', 'paying_guest', 'rent']"
Aizawl,f9752e5c20774046d53b,f679807d54cc8bf317a9,aizawl,2,,"['buy', 'plots', 'commercial', 'rent']"
Ajmer,f867457808450681c128,08a4a5ef266b322b8937,ajmer,2,,"['buy', 'plots', 'commercial', 'rent']"
Akola,bfcdbd0e4255aa597c77,4640887c4a84b0bcc6ca,akola,2,,"['buy', 'plots', 'commercial', 'rent']"
Alappuzha,be7cf6f2798d7d05ed4d,2160b6c16b21b2f81957,alappuzha,2,,"['buy', 'plots', 'commercial', 'rent']"
Aligarh,71adbb3cc1a33734460c,83e2376b38cfad4ae10a,aligarh,2,,"['buy', 'plots', 'commercial', 'rent']"
Alipurduar,bdba1f0258e66b15092a,36edcc8dc213f06c392a,alipurduar,2,,"['buy', 'plots', 'commercial', 'rent']"
Alirajpur,0fd8aebfca97e273aacd,36336eaab46e8ef06ce1,alirajpur,2,,"['buy', 'plots', 'commercial', 'rent']"
Almora,24b8ca90b238f6525c16,96012253cdc730b6110e,almora_1,2,,"['buy', 'plots', 'commercial', 'rent']"
Alwar,f52fdf80cea123324ced,9d4cdb7170167aca8bfd,alwar_rajasthan,2,,"['buy', 'plots', 'commercial', 'rent']"
Ambala,8565c8dca781bab85ef7,a794c1a12099687c22dd,ambala,2,,"['buy', 'plots', 'commercial', 'rent']"
Ambedkar Nagar,4bdae37dcc8845dbdbb6,,ambedkar_nagar,2,,"['buy', 'plots', 'commercial', 'rent']"
Amethi,2efc53e55e4ab314f8a6,05766115c1f639be9f0c,amethi,2,,"['buy', 'plots', 'commercial', 'rent']"
Amravati,0ad347c32204981ab390,c3d3f97c90d3b51b9ea8,amravati,2,,"['buy', 'plots', 'commercial', 'rent']"
Amreli,e3bd989f3eabe0a038e9,749728db4962dab2ab72,amreli_gujarat,2,,"['buy', 'plots', 'commercial', 'rent']"
Amritsar,ea751ce514e0b4e1ea5e,50600fdbb324ad585350,amritsar,2,,"['buy', 'plots', 'commercial', 'rent']"
Amroha,482198f30d06281a7b76,a8263efe6f154b2a2775,amroha,2,,"['buy', 'plots', 'commercial', 'rent']"
Anand,db1767c98d80b123b182,71565ba2014e663d91f3,anand,2,,"['buy', 'plots', 'commercial', 'rent']"
Anantapur,76cffa4455a0f8a085f8,399ed3281089c9ef9656,anantapur_andhra_pradesh,2,,"['buy', 'plots', 'commercial', 'rent']"
Anantnag,69a9093dd500000f1b3e,,anantnag,2,,"['buy', 'plots', 'commercial', 'rent']"
Anuppur,cbdd6cedc6e342216e99,cd35c85fd560801b9a92,anuppur_madhya_pradesh,2,,"['buy', 'plots', 'commercial', 'rent']"
Araria,53ad5eed6fb5830ea9d0,6530206d200db36eb189,araria,2,,"['buy', 'plots', 'commercial', 'rent']"
Aravalli,be5665999ab4c3b3d2fb,,aravalli,2,,"['buy', 'plots', 'commercial', 'rent']"
Ariyalur,b03c175a7fd18230a649,14a7ae2d0e8c23939fe0,ariyalur,2,,"['buy', 'plots', 'commercial', 'rent']"
Arwal,a0349a99f2e2f9a58373,3996e5aa7bbe9aaa81eb,arwal,2,,"['buy', 'plots', 'commercial', 'rent']"
Ashoknagar,e7c3dcd059c585555995,8d66f9a6d07f97cf2cb9,ashoknagar,2,,"['buy', 'plots', 'commercial', 'rent']"
Auraiya,3e1d9a9a80ecb21f530e,9fe38972313a9f30e7a3,auraiya,2,,"['buy', 'plots', 'commercial', 'rent']"
Aurangabad,f418461659facff158dd,2603bd53c6b10a06c3e5,aurangabad_maharashtra,2,,"['buy', 'plots', 'commercial', 'rent']"
Azamgarh,5554518b1704191a98cf,d0392c6745ebcdc53d92,azamgarh,2,,"['buy', 'plots', 'commercial', 'rent']"
Badgam,b51f01360a96fdba60a3,26f7d75354aadae8fae4,badgam,2,,"['buy', 'plots', 'commercial', 'rent']"
Bageshwar,cd0c0d6345e0ea48b608,44d79bc8ab714cb884f1,bageshwar,2,,"['buy', 'plots', 'commercial', 'rent']"
Baghpat,4c75b22b7e5635005553,e72141c431e346aa93a8,baghpat,2,,"['buy', 'plots', 'commercial', 'rent']"
Bahraich,cf35f3778a08716908fc,3d175a8464e20a186cb6,bahraich,2,,"['buy', 'plots', 'commercial', 'rent']"
Baksa,fc377d94943aa18f5046,57b4442b566b5e938757,baksa,2,,"['buy', 'plots', 'commercial', 'rent']"
Balaghat,823d6da034d6bbedcb1e,e03dbe0f81df8404986e,balaghat,2,,"['buy', 'plots', 'commercial', 'rent']"
Balangir,95d4790746d1b8ba0a86,462760472b116a8dee02,balangir,2,,"['buy', 'plots', 'commercial', 'rent']"
Ballia,93c4782d7d685d069f62,ab95d0723419c3296d62,ballia,2,,"['buy', 'plots', 'commercial', 'rent']"
Balod,bf12a134d310cf84c389,62214d8ed6c1c11307d0,balod,2,,"['buy', 'plots', 'commercial', 'rent']"
Baloda Bazar,bc5e5e75c3d609f47e36,6838edba82e6a62d3634,baloda_bazar,2,,"['buy', 'plots', 'commercial', 'rent']"
Balrampur,20c1977bfee7043bd6a5,e348da5241b0f8907acf,balrampur,2,,"['buy', 'plots', 'commercial', 'rent']"
Banda,aa2ac09a6254f37606cc,2fbafde082c135ae09a1,banda,2,,"['buy', 'plots', 'commercial', 'rent']"
Banka,48eb2aeab42210dbdbbc,17a4fc72a8744c7b88c1,banka,2,,"['buy', 'plots', 'commercial', 'rent']"
Bankura,2c0abb9887bf4f98e4b2,5e3c743ca0eecbb8a139,bankura,2,,"['buy', 'plots', 'commercial', 'rent']"
Banswara,77b4a80595414e58bb56,9170d6450c7b844ac735,banswara,2,,"['buy', 'plots', 'commercial', 'rent']"
Baran,2507257423a968cfd946,44565fde1c60f8143c56,baran,2,,"['buy', 'plots', 'commercial', 'rent']"
Bareilly,f1611cbc1d7917e28b04,a8209baeeb82d671df93,bareilly_uttar_pradesh,2,,"['buy', 'plots', 'commercial', 'rent']"
Bargarh,61f45d77d67fd223e284,,bargarh,2,,"['buy', 'plots', 'commercial', 'rent']"
Barmer,d2e196d0ce1ebbc1f22f,e0a0bb10c3741df36931,barmer_rajasthan,2,,"['buy', 'plots', 'commercial', 'rent']"
Barnala,7592921e77bb0a81c589,421fa051f04ff37196ed,barnala_1,2,,"['buy', 'plots', 'commercial', 'rent']"
Barpeta,3532bf7bd32f164e82ef,91fd346ffc82c3bd2901,barpeta,2,,"['buy', 'plots', 'commercial', 'rent']"
Barwani,35cea01fe2a67383b0cb,552f62ac0234346a38b1,barwani,2,,"['buy', 'plots', 'commercial', 'rent']"
Bastar,1259b24e1ec264f1ebcb,a644a9296b474ecd22c9,bastar,2,,"['buy', 'plots', 'commercial', 'rent']"
Basti,2861217cb93ab3beddc3,9c5c7c85f15d538e8987,basti,2,,"['buy', 'plots', 'commercial', 'rent']"
Bathinda,5432386645bc9eaca1e0,7d8f854a3e6dee8b8439,bathinda_punjab,2,,"['buy', 'plots', 'commercial', 'rent']"
Begusarai,9177cb41fe13901f61c7,bbef8dc289205f3e59a5,begusarai,2,,"['buy', 'plots', 'commercial', 'rent']"
Betul,88dc2ffbd7374d1cd295,4857842674be5c5d87d8,betul,2,,"['buy', 'plots', 'commercial', 'rent']"
Bhadohi,09e7101941028d3e31ac,d825de55789f37b3da15,bhadohi,2,,"['buy', 'plots', 'commercial', 'rent']"
Bhadrak,f661c3499180a5dd5ffc,fea215efeaa177724b70,bhadrak,2,,"['buy', 'plots', 'commercial', 'rent']"
Bhagalpur,7c5bea2205d1dc6534f8,0ccfb72e8bed3bb473d3,bhagalpur,2,,"['buy', 'plots', 'commercial', 'rent']"
Bhandara,aa72640187371e6edbdb,14b7daeea93dcfd50ed8,bhandara,2,,"['buy', 'plots', 'commercial', 'rent']"
