dtname,stname,Final_id
Adilabad,TELANGANA,701
Agar Malwa,MADHYA PRADESH,519
Agra,UTTAR PRADESH,160
Ahmadabad,GUJARAT,532
Ahmadnagar,MAHARASHTRA,573
Aizawl,MIZORAM,314
Ajmer,RAJASTHAN,130
Akola,MAHARASHTRA,566
Alappuzha,KERALA,651
Aligarh,UTTAR PRADESH,147
Alipurduar,WEST BENGAL,386
Alirajpur,MADHYA PRADESH,512
Almora,UTTARAKHAND,67
Alwar,RAJASTHAN,108
Ambala,HARYANA,92
Ambedkar Nagar,UTTAR PRADESH,177
Amethi,UTTAR PRADESH,197
Amravati,MAHARASHTRA,591
Amreli,GUJARAT,526
Amritsar,PUNJAB,37
Amroha,UTTAR PRADESH,137
Anand,GUJARAT,551
Anantapur,ANDHRA PRADESH,605
Anantnag,JAMMU & KASHMIR,5
Anjaw,ARUNACHAL PRADESH,255
Anugul,ODISHA,434
Anuppur,MADHYA PRADESH,503
Araria,BIHAR,244
Aravalli,GUJARAT,541
Ariyalur,TAMIL NADU,667
Arwal,BIHAR,236
Ashoknagar,MADHYA PRADESH,484
Auraiya,UTTAR PRADESH,172
Aurangabad,BIHAR,249
Aurangabad,MAHARASHTRA,594
Azamgarh,UTTAR PRADESH,180
Badgam,JAMMU & KASHMIR,8
Bagalkote,KARNATAKA,614
Bageshwar,UTTARAKHAND,64
Baghpat,UTTAR PRADESH,204
Bahraich,UTTAR PRADESH,145
Baksa,ASSAM,346
Balaghat,MADHYA PRADESH,517
Balangir,ODISHA,421
Baleshwar,ODISHA,441
Ballari,KARNATAKA,618
Ballia,UTTAR PRADESH,183
Balod,CHHATTISGARH,456
Baloda Bazar,CHHATTISGARH,465
Balrampur,UTTAR PRADESH,209
Balrampur,CHHATTISGARH,468
Bametara,CHHATTISGARH,462
Banas Kantha,GUJARAT,528
Banda,UTTAR PRADESH,186
Bandipore,JAMMU & KASHMIR,2
Bangalore,KARNATAKA,632
Banka,BIHAR,227
Bankura,WEST BENGAL,379
Banswara,RAJASTHAN,129
Bara Banki,UTTAR PRADESH,162
Baramula,JAMMU & KASHMIR,3
Baran,RAJASTHAN,125
Bareilly,UTTAR PRADESH,139
Bargarh,ODISHA,443
Barmer,RAJASTHAN,116
Barnala,PUNJAB,50
Barpeta,ASSAM,350
Barwani,MADHYA PRADESH,518
Bastar,CHHATTISGARH,450
Basti,UTTAR PRADESH,166
Bathinda,PUNJAB,51
Baudh,ODISHA,422
Begusarai,BIHAR,232
Belagavi,KARNATAKA,612
Bengaluru Rural,KARNATAKA,630
Betul,MADHYA PRADESH,523
Bhadohi,UTTAR PRADESH,193
Bhadradri Kothagudem,TELANGANA,731
Bhadrak,ODISHA,416
Bhagalpur,BIHAR,233
Bhandara,MAHARASHTRA,562
Bharatpur,RAJASTHAN,111
Bharuch,GUJARAT,536
Bhavnagar,GUJARAT,552
Bhilwara,RAJASTHAN,120
Bhind,MADHYA PRADESH,475
Bhiwani,HARYANA,89
Bhojpur,BIHAR,220
Bhopal,MADHYA PRADESH,497
Bid,MAHARASHTRA,578
Bidar,KARNATAKA,610
Bijapur,CHHATTISGARH,469
Bijnor,UTTAR PRADESH,202
Bikaner,RAJASTHAN,135
Bilaspur,HIMACHAL PRADESH,34
Bilaspur,CHHATTISGARH,471
Birbhum,WEST BENGAL,375
Bishnupur,MANIPUR,295
Biswanath,ASSAM,364
Bokaro,JHARKHAND,404
Bongaigaon,ASSAM,354
Botad,GUJARAT,542
Budaun,UTTAR PRADESH,144
Bulandshahr,UTTAR PRADESH,141
Buldana,MAHARASHTRA,565
Bundi,RAJASTHAN,122
Burhanpur,MADHYA PRADESH,473
Buxar,BIHAR,221
Cachar,ASSAM,359
Central,DELHI,98
Chamarajanagara,KARNATAKA,634
Chamba,HIMACHAL PRADESH,24
Chamoli,UTTARAKHAND,59
Champawat,UTTARAKHAND,69
Champhai,MIZORAM,315
Chandauli,UTTAR PRADESH,192
Chandel,MANIPUR,296
Chandigarh,CHANDIGARH,57
Chandrapur,MAHARASHTRA,570
Changlang,ARUNACHAL PRADESH,256
Charaideo,ASSAM,362
Charki Dadri,HARYANA,78
Chatra,JHARKHAND,399
Chengalpattu,TAMIL NADU,691
Chennai,TAMIL NADU,692
Chhatarpur,MADHYA PRADESH,521
Chhindwara,MADHYA PRADESH,513
Chikkaballapura,KARNATAKA,627
Chikkamagaluru,KARNATAKA,626
Chirang,ASSAM,345
Chitradurga,KARNATAKA,622
Chitrakoot,UTTAR PRADESH,191
Chittaurgarh,RAJASTHAN,132
Chittoor,ANDHRA PRADESH,609
Chota Udaipur,GUJARAT,543
Churachandpur,MANIPUR,297
Churu,RAJASTHAN,104
Coimbatore,TAMIL NADU,665
Cooch Behar,WEST BENGAL,390
Cuddalore,TAMIL NADU,679
Cuttack,ODISHA,423
Dadra & Nagar Haveli,DADRA & NAGAR HAVE,560
Dakshin Bastar Dantewada,CHHATTISGARH,449
Dakshin Dinajpur,WEST BENGAL,372
Dakshina Kannada,KARNATAKA,631
Daman,DAMAN & DIU,558
Damoh,MADHYA PRADESH,489
Darbhanga,BIHAR,222
Darjiling,WEST BENGAL,370
Darrang,ASSAM,349
Datia,MADHYA PRADESH,520
Dausa,RAJASTHAN,113
Davanagere,KARNATAKA,623
Debagarh,ODISHA,444
Dehradun,UTTARAKHAND,60
Deoghar,JHARKHAND,397
Deoria,UTTAR PRADESH,175
Devbhumi Dwarka,GUJARAT,555
Dewas,MADHYA PRADESH,502
Dhalai,TRIPURA,318
Dhamtari,CHHATTISGARH,455
Dhanbad,JHARKHAND,402
Dhar,MADHYA PRADESH,507
Dharmapuri,TAMIL NADU,659
Dharwad,KARNATAKA,619
Dhaulpur,RAJASTHAN,115
Dhemaji,ASSAM,337
Dhenkanal,ODISHA,417
Dhubri,ASSAM,355
Dhule,MAHARASHTRA,592
Dibrugarh,ASSAM,338
Dima Hasao,ASSAM,358
Dimapur,NAGALAND,289
Dindigul,TAMIL NADU,672
Dindori,MADHYA PRADESH,505
Diu,DAMAN & DIU,559
Doda,JAMMU & KASHMIR,16
Dohad,GUJARAT,534
Dumka,JHARKHAND,396
Dungarpur,RAJASTHAN,128
Durg,CHHATTISGARH,454
East,DELHI,96
East District,SIKKIM,253
