listingId,project_name,coords,address,image_url
251477,"Bhankrota,NH - 8 Jaipur,Jaipur","Bhankrota,NH - 8 Jaipur,Jaipur","['26.863125', '75.680611']",https://is1-2.housingcdn.com/4f2250e8/f1a044107ff5cbf2a80f5ecf974ff2a3/v0/medium/manglam_aanantara-bhankrota-jaipur-mangalam_bdl.jpg
4593,"Mahapura,NH - 8 Jaipur,Jaipur","Mahapura,NH - 8 Jaipur,Jaipur","['26.852373', '75.674324']",https://is1-2.housingcdn.com/4f2250e8/0e25c1a8304821e231b5f6a65b8a268f/v0/medium/mahima_nirvana-mahapura-jaipur-mahima_group.jpg
78769,"Bhankrota,NH - 8 Jaipur,Jaipur","Bhankrota,NH - 8 Jaipur,Jaipur","['26.853342', '75.684387']",https://is1-3.housingcdn.com/4f2250e8/5d97e0165ca5286f4aeb44394e447d3c/v2/medium/mahima_shubh_nilay_phase_i_part_2-bhankrota-jaipur-mahima_group.jpeg
96732,"Ajmer Road, Jaipur","Ajmer Road, Jaipur","['26.886189', '75.703217']",https://is1-2.housingcdn.com/4f2250e8/ffda1e0d195110219800f0ae5b1d5e2b/v0/medium/chordias_atulya-ajmer_road-jaipur-chordias_group.jpeg
251477,"Bhankrota,NH - 8 Jaipur,Jaipur","Bhankrota,NH - 8 Jaipur,Jaipur","['26.863125', '75.680611']",https://is1-2.housingcdn.com/4f2250e8/f1a044107ff5cbf2a80f5ecf974ff2a3/v0/medium/manglam_aanantara-bhankrota-jaipur-mangalam_bdl.jpg
4593,"Mahapura,NH - 8 Jaipur,Jaipur","Mahapura,NH - 8 Jaipur,Jaipur","['26.852373', '75.674324']",https://is1-2.housingcdn.com/4f2250e8/0e25c1a8304821e231b5f6a65b8a268f/v0/medium/mahima_nirvana-mahapura-jaipur-mahima_group.jpg
78769,"Bhankrota,NH - 8 Jaipur,Jaipur","Bhankrota,NH - 8 Jaipur,Jaipur","['26.853342', '75.684387']",https://is1-3.housingcdn.com/4f2250e8/5d97e0165ca5286f4aeb44394e447d3c/v2/medium/mahima_shubh_nilay_phase_i_part_2-bhankrota-jaipur-mahima_group.jpeg
96732,"Ajmer Road, Jaipur","Ajmer Road, Jaipur","['26.886189', '75.703217']",https://is1-2.housingcdn.com/4f2250e8/ffda1e0d195110219800f0ae5b1d5e2b/v0/medium/chordias_atulya-ajmer_road-jaipur-chordias_group.jpeg
8528089,RK Residency,"Shanti Nagar, Brijlalpura,Jaipur","['26.893738', '75.747276']",
7893444,"Bhankrota, Jaipur","Bhankrota, Jaipur","['26.869242', '75.696717']",https://is1-3.housingcdn.com/01c16c28/3dc27b18482121ca71ffb7fa44b5206f/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
8336164,"HOMELAND Vatsalye,Bhankrota, Jaipur","HOMELAND Vatsalye,Bhankrota, Jaipur","['26.869242', '75.696717']",https://is1-3.housingcdn.com/01c16c28/558626e3a5453678c1fa34b8984fc448/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-others.jpg
8341289,"Rajni Vihar, Heerawala,Jaipur","Rajni Vihar, Heerawala,Jaipur","['26.887274', '75.731186']",https://is1-2.housingcdn.com/01c16c28/d26753e6264f92ccc431bd1adbfe0779/v0/medium/3_bhk_independent_floor-for-sale-heerawala-Jaipur-outside_view.jpg
6552992,Vasundhara Apartment,"Suraj Nagar West, Civil Lines,Jaipur","['26.905444', '75.77802']",https://is1-2.housingcdn.com/01c16c28/c57b243ec834793f3d42790b5f896a3c/v0/medium/2_bhk_apartment-for-sale-civil_lines_jaipur-Jaipur-hall.jpg
7737476,"Chandrakunj Apartments,Dharam Park, Sushilpura,Jaipur","Chandrakunj Apartments,Dharam Park, Sushilpura,Jaipur","['26.897141', '75.760449']",https://is1-2.housingcdn.com/01c16c28/80ba0c1ab121db38a48e1a532d838edc/v0/medium/2_bhk_apartment-for-sale-sushilpura-Jaipur-hall.jpg
7318935,"Bhankrota, Jaipur","Bhankrota, Jaipur","['26.871529', '75.696572']",https://is1-3.housingcdn.com/01c16c28/9fad5e381465c660e700316d6dd6077a/v0/medium/2_bhk_independent_house-for-sale-bhankrota-Jaipur-others.jpg
7431734,"omaxe city ,Shanti Nagar, Brijlalpura,Jaipur","omaxe city ,Shanti Nagar, Brijlalpura,Jaipur","['26.89488', '75.749366']",
7319695,Anukriti Green Acres,"Narsinghpura, Jaipur","['26.86731', '75.649834']",https://is1-3.housingcdn.com/01c16c28/047444947473487f68b1cfcaf821af2a/v0/medium/residential_plot-for-sale-narsinghpura-Jaipur-plot_view.jpg
7010774,"Bhankrota, Jaipur","Bhankrota, Jaipur","['26.869242', '75.696717']",https://is1-3.housingcdn.com/01c16c28/6fbcd2205cae1e2046714a5ca93505a9/v0/medium/residential_plot-for-sale-bhankrota-Jaipur-plot_view.jpg
263859,"Bhankrota,NH - 8 Jaipur,Jaipur","Bhankrota,NH - 8 Jaipur,Jaipur","['26.852364', '75.682465']",https://is1-3.housingcdn.com/4f2250e8/add1cb8bf255d370a1cbda1f7025141e/v0/medium/auric_the_century_park-bhankrota-jaipur-auric_infratech_private_limited.jpeg
3660722,"Royal Celebrity,Jaisinghpura, Jaipur","Royal Celebrity,Jaisinghpura, Jaipur","['26.843657', '75.695885']",https://is1-2.housingcdn.com/01c16c28/e4c9907c5388dbbd0c94a21901618b23/v0/medium/3_bhk_villa-for-sale-jaisinghpura_1-Jaipur-others.jpg
124197,"Narayan Vihar,NH - 8 Jaipur,Jaipur","Narayan Vihar,NH - 8 Jaipur,Jaipur","['26.872835', '75.715034']",https://is1-2.housingcdn.com/4f2250e8/4fe815652a2c1ddb13c61d0be8186de6/v0/medium/arg_ananta_ii-narayan_vihar_jaipur-jaipur-arg_group.jpg
198819,"Bhankrota,NH - 8 Jaipur,Jaipur","Bhankrota,NH - 8 Jaipur,Jaipur","['26.864237', '75.681984']",https://is1-3.housingcdn.com/4f2250e8/f9d3ce393260b129f839bcc5b3fd22dd/v0/medium/one_nakshatra-bhankrota-jaipur-one_realty_group.jpg
6762,"Jaisinghpura,NH - 8 Jaipur,Jaipur","Jaisinghpura,NH - 8 Jaipur,Jaipur","['26.850233', '75.695885']",https://is1-3.housingcdn.com/4f2250e8/896890faa1ba3e6db0a18f1396572d1c/v0/medium/arg_divine_enclave-bhankrota-jaipur-arg_group.jpeg
124173,"Bhankrota,NH - 8 Jaipur,Jaipur","Bhankrota,NH - 8 Jaipur,Jaipur","['26.864237', '75.681984']",https://is1-2.housingcdn.com/4f2250e8/415c055923e76badc6fd199d6d2647d5/v0/medium/org_galaxy-bhankrota-jaipur-one_realty_group.jpeg
7318935,"Bhankrota, Jaipur","Bhankrota, Jaipur","['26.871529', '75.696572']",https://is1-3.housingcdn.com/01c16c28/9fad5e381465c660e700316d6dd6077a/v0/medium/2_bhk_independent_house-for-sale-bhankrota-Jaipur-others.jpg
7431734,"omaxe city ,Shanti Nagar, Brijlalpura,Jaipur","omaxe city ,Shanti Nagar, Brijlalpura,Jaipur","['26.89488', '75.749366']",
